vehicle_id,lane,frame,timestamp_sec
3154,1,3271,109.03
3172,1,3296,109.87
3176,1,3303,110.10
3179,2,3308,110.27
3184,3,3315,110.50
3148,2,3337,111.23
3176,2,3338,111.27
3204,1,3352,111.73
3205,1,3352,111.73
3223,1,3399,113.30
3230,1,3408,113.60
3241,1,3414,113.80
3247,1,3419,113.97
3251,2,3426,114.20
3254,1,3428,114.27
3263,1,3443,114.77
3266,1,3445,114.83
3278,2,3460,115.33
3280,1,3470,115.67
3300,3,3488,116.27
3304,1,3489,116.30
3305,1,3489,116.30
3325,1,3509,116.97
3339,1,3526,117.53
3345,3,3534,117.80
3346,1,3537,117.90
3278,1,3539,117.97
3368,2,3564,118.80
3304,2,3569,118.97
3380,1,3584,119.47
3388,2,3616,120.53
3393,1,3618,120.60
3397,3,3636,121.20
3380,2,3663,122.10
3429,1,3719,123.97
3433,2,3736,124.53
3441,1,3748,124.93
3442,2,3751,125.03
3451,1,3773,125.77
3429,2,3774,125.80
3454,2,3797,126.57
3457,1,3810,127.00
3457,2,3812,127.07
3460,1,3817,127.23
3460,2,3847,128.23
3464,1,3848,128.27
3470,1,3865,128.83
3471,2,3873,129.10
3483,2,3882,129.40
3485,2,3885,129.50
3498,2,3896,129.87
3511,1,3904,130.13
3515,2,3906,130.20
3528,1,3912,130.40
3539,1,3921,130.70
3549,1,3925,130.83
3553,1,3926,130.87
3556,1,3931,131.03
3579,2,3961,132.03
3581,1,3964,132.13
3590,2,3978,132.60
3581,2,4015,133.83
3606,2,4022,134.07
3613,2,4032,134.40
3624,1,4042,134.73
3627,1,4048,134.93
3632,1,4052,135.07
3635,2,4056,135.20
3638,1,4070,135.67
3632,2,4079,135.97
3653,1,4083,136.10
3656,1,4085,136.17
3635,1,4092,136.40
3660,1,4095,136.50
3667,2,4101,136.70
3680,2,4112,137.07
3656,2,4113,137.10
3681,2,4113,137.10
3687,2,4118,137.27
3701,2,4133,137.77
3704,1,4135,137.83
3708,3,4137,137.90
3709,2,4138,137.93
3716,2,4142,138.07
3725,2,4149,138.30
3737,3,4161,138.70
3746,2,4170,139.00
3747,1,4170,139.00
3754,1,4174,139.13
3756,1,4179,139.30
3761,1,4182,139.40
3764,1,4185,139.50
3747,2,4193,139.77
3775,2,4193,139.77
3779,2,4196,139.87
3784,3,4199,139.97
3785,2,4200,140.00
3786,1,4200,140.00
3795,2,4208,140.27
3797,2,4210,140.33
3716,1,4217,140.57
3800,3,4222,140.73
3812,2,4232,141.07
3818,2,4237,141.23
3821,1,4240,141.33
3786,2,4243,141.43
3830,1,4245,141.50
3835,1,4255,141.83
3838,3,4257,141.90
3746,1,4260,142.00
3854,2,4267,142.23
3855,2,4268,142.27
3862,2,4278,142.60
3864,1,4280,142.67
3866,1,4281,142.70
3870,3,4282,142.73
3871,2,4286,142.87
3878,2,4295,143.17
3889,1,4311,143.70
3864,2,4322,144.07
3921,1,4350,145.00
3922,2,4350,145.00
3924,1,4356,145.20
3932,1,4366,145.53
3933,1,4366,145.53
3940,2,4376,145.87
3933,2,4380,146.00
3944,1,4389,146.30
3944,2,4391,146.37
3948,1,4398,146.60
3955,3,4412,147.07
3981,3,4427,147.57
4000,1,4442,148.07
4003,1,4444,148.13
4006,2,4446,148.20
4014,1,4463,148.77
4015,2,4464,148.80
4029,1,4481,149.37
4029,2,4489,149.63
4035,1,4490,149.67
4039,2,4495,149.83
4040,2,4495,149.83
4047,1,4506,150.20
4067,2,4523,150.77
4073,2,4542,151.40
4047,2,4561,152.03
4089,1,4567,152.23
4093,2,4572,152.40
4096,2,4576,152.53
4101,2,4582,152.73
4103,1,4584,152.80
4105,1,4587,152.90
4106,2,4589,152.97
4114,2,4596,153.20
4117,1,4598,153.27
4118,2,4616,153.87
4140,2,4636,154.53
4150,2,4646,154.87
4178,1,4655,155.17
4193,1,4661,155.37
4195,2,4661,155.37
4206,2,4666,155.53
4214,2,4676,155.87
4117,2,4677,155.90
4217,1,4677,155.90
4217,2,4684,156.13
4254,1,4700,156.67
4261,2,4703,156.77
4273,1,4707,156.90
4275,3,4708,156.93
4283,2,4725,157.50
4299,2,4742,158.07
4338,2,4760,158.67
4340,3,4761,158.70
4349,2,4767,158.90
4353,2,4770,159.00
4261,1,4778,159.27
4359,2,4781,159.37
4373,1,4789,159.63
4374,2,4789,159.63
4375,3,4791,159.70
4376,2,4794,159.80
4388,1,4800,160.00
4399,2,4807,160.23
4409,1,4813,160.43
4414,2,4816,160.53
4283,1,4817,160.57
4435,1,4829,160.97
4440,2,4832,161.07
4338,1,4837,161.23
